Designator,Mid X,Mid Y,Rotation,Layer
J2,120.5668,-122.682,0.0,top
J3,140.328,-125.3744,0.0,top
J51,107.6944,-55.8848,0.0,top
J52,107.6944,-68.5848,0.0,top
J53,107.6944,-81.5848,0.0,top
J54,107.6944,-93.9848,0.0,top
J55,107.6944,-106.6848,0.0,top
J57,144.6784,-63.2968,90.0,top
J58,144.6276,-76.9112,90.0,top
J59,145.8926,-89.6112,90.0,top
J60,145.7452,-102.5652,90.0,top
J61,146.05,-119.7864,90.0,top
P1,106.8914,-116.3662,0.0,top
Q1,191.8716,-56.8452,0.0,top
Q10,136.139,-83.312,0.0,top
Q11,192.024,-78.8924,0.0,top
Q12,130.3478,-96.1136,0.0,top
Q13,136.0882,-96.1136,0.0,top
Q14,192.024,-86.2584,0.0,top
Q15,130.302,-109.6772,0.0,top
Q16,136.0424,-109.6772,0.0,top
Q17,141.7778,-70.1548,0.0,top
Q18,141.8794,-83.312,0.0,top
Q19,141.7778,-96.1136,0.0,top
Q2,191.9732,-64.1604,0.0,top
Q20,141.732,-109.6772,0.0,top
Q21,147.6756,-56.7944,0.0,top
Q22,147.569,-70.1548,0.0,top
Q23,147.6706,-83.312,0.0,top
Q24,147.6198,-96.1136,0.0,top
Q25,147.6248,-109.6772,0.0,top
Q26,153.416,-56.7944,0.0,top
Q27,153.3602,-70.1548,0.0,top
Q28,153.4618,-83.312,0.0,top
Q29,153.411,-96.1136,0.0,top
Q3,130.302,-56.79,0.0,top
Q30,153.416,-109.6772,0.0,top
Q31,159.1056,-56.7944,0.0,top
Q32,159.0498,-70.1548,0.0,top
Q33,159.2022,-83.312,0.0,top
Q34,159.1514,-96.1136,0.0,top
Q35,159.1564,-109.6772,0.0,top
Q36,164.7952,-56.7944,0.0,top
Q37,164.7902,-70.1548,0.0,top
Q38,164.9426,-83.312,0.0,top
Q39,164.841,-96.1136,0.0,top
Q4,130.2462,-70.1548,0.0,top
Q40,164.846,-109.6772,0.0,top
Q41,170.4848,-56.7944,0.0,top
Q42,170.5306,-70.1548,0.0,top
Q43,170.683,-83.312,0.0,top
Q44,170.6322,-96.1136,0.0,top
Q45,170.6372,-109.6772,0.0,top
Q46,176.1744,-56.7944,0.0,top
Q47,176.271,-70.1548,0.0,top
Q48,176.4234,-83.312,0.0,top
Q49,176.3726,-96.1136,0.0,top
Q5,136.0932,-56.7944,0.0,top
Q50,176.3776,-109.6772,0.0,top
Q51,181.864,-56.7944,0.0,top
Q52,181.9606,-70.1548,0.0,top
Q53,182.113,-83.312,0.0,top
Q54,182.0622,-96.1136,0.0,top
Q55,182.0672,-109.6772,0.0,top
Q6,136.0374,-70.1548,0.0,top
Q7,141.8844,-56.7944,0.0,top
Q8,192.024,-71.5264,0.0,top
Q9,130.3478,-83.312,0.0,top
R1,194.1068,-59.944,0.0,top
R10,155.6914,-115.6208,0.0,top
R11,161.3916,-115.57,0.0,top
R12,167.0456,-115.57,0.0,top
R13,172.8618,-115.6208,0.0,top
R14,178.5726,-115.6208,0.0,top
R15,184.313,-115.6208,0.0,top
R2,194.1424,-67.3608,0.0,top
R3,132.497,-115.6208,0.0,top
R4,138.2882,-115.57,0.0,top
R5,194.2592,-74.7776,0.0,top
R6,194.2592,-82.296,0.0,top
R7,194.2744,-89.9668,0.0,top
R8,143.8762,-115.57,0.0,top
R9,149.8494,-115.57,0.0,top
